D01T03,D05T06,D07T08,D09,D10T12,D13T15,D16,D17T18,D19,D20T21,D22,D23,D24,D25,D26,D27,D28,D29,D30,D31T33,D35T39,D41T43,D45T47,D49T53,D55T56,D58T60,D61,D62T63,D64T66,D68,D69T82,D84,D85,D86T88,D90T96,D97T98
64476.7,0.9,0.4,21,103501.1,12874.9,5401.9,2852.7,81.1,4403.5,1459.3,75.2,4.4,0.8,0.6,1.3,1.1,79.2,7.6,1471,361,3959.3,4704.8,169.9,9023.4,5.5,13.5,1.2,6.1,0.2,1966,1879.4,0.1,344.7,716.7,0
7.4,3194.4,55.7,301.8,75.3,120.7,7.8,78.4,95013.2,573.1,17.6,848.9,10813.3,15.3,0.2,4.1,97.9,150,13.7,37.4,23008.2,73.1,262.2,79.5,202.6,3.1,38.7,0.5,3.4,0.2,86.1,1.4,0.5,95.5,189.9,0
14.8,36.8,972.8,38.4,0.4,2.8,0.3,7.1,4.3,19.2,5.7,4339.2,19476.1,354.1,20.9,157.1,111.4,103.6,25.2,309.3,74.7,8452.7,98.5,0.8,10.6,0.1,4.1,0.2,0.2,0,46.6,0.3,0.1,1.6,40.4,0
1448,4310.8,788.5,747.6,92.8,0.1,6.2,40,332.9,71.4,98.4,72.3,22.5,2,0.1,0.4,61.7,1.8,0.9,42.4,854.9,3256.4,0.7,55.8,0.3,0,0,0.1,0.5,0,8.2,176.1,64.8,1.5,1.6,0
6491.7,45.4,25.2,4.6,9159.8,460.6,13.3,69.7,377.7,2175.2,402,100.6,174.5,41.7,26.4,59.3,53.6,117.3,34.5,88.8,162.4,307.5,1193.1,32.5,11382.6,20,30.7,15.3,22.6,14.2,449.7,1136.4,22.4,445.8,867.1,0
600.6,132.4,63.9,20,137.6,38828.2,75.3,260.2,661.5,2657,1296.7,273.5,258.1,104.5,76.5,192.3,193.9,1369.2,197.1,2660.7,174,1760.5,1138.6,267.6,374.5,106.5,57,79.1,341.7,28.1,824.3,728.3,106,383.4,672.9,0
124.9,100.2,40.3,4.3,46.7,139.8,766.3,171.7,46.8,115.2,68.1,137.2,35.3,61.3,26.7,47.2,77.7,219.7,33.9,2368.1,19.9,6603.7,173.9,12.3,49.2,14.4,20,12.9,19.1,3.2,119.2,22.7,21.1,21.6,120.8,0
270.1,63.2,60.1,6.1,1432.3,980.6,88.1,6313.4,246.3,1302.2,531.9,620.7,153.2,139.5,147.2,275.7,315.6,510.9,86.6,706.3,369.9,1050.5,1720.1,572.8,529.5,2258.1,417.3,1087.2,1803,185.9,1364,1353.7,1328.2,227,677.3,0
7263.2,1768.1,1581.6,270.6,991.3,2985.2,163.7,517,29068.8,12582.8,1752.6,2757.4,5131.1,438.2,202.3,539.3,698.5,991.4,499.4,958.5,8672,13649.4,4155.9,38206.5,821.1,224.2,693.5,1016.2,1730.3,685.7,3606.1,3787.9,1286.3,486.2,1264.5,0
9566.2,1046,527.8,85.6,1208.7,14474,357.4,1738.6,11014.1,46156.3,12530.3,2726.7,3909.4,926.1,719.6,1608.1,1197.4,2945,645.8,2592.3,611.9,8313.6,1542.9,451.5,587.3,195.4,124.7,60,41.1,24.1,1599.2,2202.7,49.3,7495.1,1767.4,0
364.9,261.5,144.3,24.6,820.7,1206.6,52.7,251.2,401.8,1438.2,2744.6,422,429.9,273.5,371.1,773.9,900,2929.1,454.6,1079.3,134.7,6659.4,959,1442.6,204.4,55,222.6,146.3,14.8,66.7,513.1,284.9,132,135.8,212.3,0
42.4,17.1,15.3,27.5,227.4,330.2,68.4,39.3,238.7,689,291.8,6175.4,785.1,257,299.1,348.3,372.4,928.5,129.8,398.2,199.1,41440.8,423.2,23,175.8,14.2,76.2,17,22.1,11.5,187.2,35.6,26.7,72.2,165,0
98.7,495.4,38.2,212.6,91.2,149,50.2,645.7,362.9,1322.5,726.7,1414.2,45078,16674.6,2350.7,16461.1,18602.2,16669.2,4958.7,11044.9,1417.5,40469.7,616.8,60.6,45.4,21.9,305.2,63,48,41.8,146.9,166.3,94.3,93.1,266.9,0
399.3,468.2,167.2,54.3,501.8,414,95.5,98.1,534.7,539.7,381.8,479.1,3371.5,2811.8,406.7,1270.2,3481.4,3789.5,796.9,1408.9,236.6,15759.7,547.2,162,135.7,36.2,113.1,181.6,33.6,149.1,425.4,620.4,196.7,69.8,176.4,0
57.6,77.2,44.6,15.7,48.2,131.4,10,75.4,159.7,182.4,119.5,101,163.2,170.9,6671.2,1365.3,1067.4,1495.1,311.3,437.8,406,2427.4,753.7,399.7,122.7,257.6,3703.2,2927.9,900.8,55.7,664,1219.9,468.9,351,489.1,0
55.7,72.6,32.2,8.4,54.4,76.3,9.8,33.8,82.1,127.9,92.1,111,669,359.7,716.7,1510.6,876.9,1079.5,238.2,328.2,366.6,3180.8,211,188.5,40.6,32,437.2,298.6,93.4,35.3,157.7,203.3,83.2,41.2,105.8,0
135.8,155,73.4,22.7,84.1,152.6,17.6,39.9,134.5,143.5,151.2,116.9,525.8,298.3,372.3,313.5,1008.7,1036.2,249.9,250.1,149.2,2307,188,189.3,30,22.9,207.1,179.2,73.1,27.9,157.8,265.7,65.6,33.6,65.6,0
69,28.3,18.4,7.1,2.2,8.5,0.3,4.7,4.7,34.5,3.9,3.4,39.1,15.6,28.1,25.5,280.3,12730.4,162.3,24.7,71,315.9,433.7,1273.4,15.8,11.7,40.9,43.2,62.7,20.6,303.5,188.8,26,10.9,43.6,0
49,1.4,0.5,0.4,1.6,2.4,0.2,1.5,3.4,5,1.4,1.6,10.2,5.4,4.3,6.3,75.7,24.5,4608.8,4.7,3.1,32.1,46.7,515.1,2.1,1.7,5.1,8.3,3.4,5.7,118.5,741.4,4.4,2.3,17.4,0
101.4,52.1,29.6,8.8,83.5,435.4,89.1,94.7,82.3,209,104.5,122.2,346.3,161.9,252.8,209.2,327,638.7,101.6,2309.6,201.3,2943.3,372.4,247,110.7,73.5,198.3,224.4,362.4,107.5,374.4,556.9,556.3,527.6,290.2,0
2231.3,2149.6,1703.4,130.6,1465.4,3693.9,194.7,1103.6,4072.3,4512.5,1163,2802.6,6932.6,658.2,328.9,540.2,1064.7,1533.2,365.2,798,26115.9,3129.3,2981.3,3772.3,2125.1,418.9,1460.2,1139.2,2317.7,3023.8,1996.7,4966.7,4333.6,1080.5,1955.7,0
479.4,272.3,495.4,36.4,63.6,187.3,20.7,61.9,396.8,286.6,84,237.4,235.4,102.6,50.1,87.9,156.7,182.5,38.7,138,1739.9,32299.4,968.4,1558.6,275.2,87.5,776.3,309.1,1087.2,6096.1,742.1,3281.8,1029.1,228.3,489.4,0
13154.3,1007.7,635.7,172.7,20852.1,13757.9,1048.4,1741.5,6842.9,8857.5,2625.4,3105.6,10422.2,2524.6,1344.4,2585.3,3185.2,5223,1649.3,3627.7,4365.2,20110.4,21506.1,11888.2,3817.1,1852.1,3301.6,5068.6,2006.5,639.8,7364.6,2008.1,974.9,1345.6,2005.3,0
5997.4,1128,930.4,186.2,9140.7,6529.5,492.9,1004.2,5364.8,4162.3,1293.6,3701.9,10334.4,1400.6,627.5,1257.9,1818.1,3417.4,892.8,1931.9,4006.5,16622.9,10724.7,24343,1829.6,721.4,1410.8,941.2,2878.9,324.6,3823.9,3631.2,1511.2,559.3,1433.6,0
207.2,96.9,35.8,36.1,154.1,282.5,21.8,74.2,111.4,294.8,100.6,140.5,199.5,95.3,42.8,76.4,182.3,223.4,140.8,163.3,549,1576.1,1443.5,1858.1,636.9,256,249,1424.7,2415.9,779.3,4458.1,1986.7,1493.1,857.3,1184.8,0
41.2,13.4,9.9,1.3,184,116.6,10.1,547,68.8,180.1,103.6,73,23.1,23.2,36.5,46.6,61.7,124.2,25.3,106.1,83.2,321.1,412.9,169.8,87,1153.2,403.3,558.7,453.3,47.7,370.4,325,401.8,46.9,256.5,0
156.9,34.3,44.7,11,86.1,221.3,10.9,44.6,173,167,59.8,88.3,84,57.6,61.9,59.6,135.7,153.2,55.1,106.3,332.7,702.6,994.3,957.8,201.1,510.1,11364.4,1784.3,2513.2,262.5,1024.2,1413.9,444.3,164.3,474,0
4,2,0.6,3.8,4,4.9,0.3,31.3,4.4,11.1,2.8,2.7,6.6,2.6,7.2,4.8,4.7,189.2,55.7,4,366.7,656.5,789.1,758.8,130.7,369.1,1319.5,6887.2,3629.9,216.1,697.3,1278.5,407.8,129.8,377.8,0
2588.2,1169.8,551.8,89.3,1110.6,2319.4,137.5,473.3,2447.4,2081,658.7,984.6,3148.1,572.2,427.5,609,1161.7,1730.5,730.3,988.2,3316.5,9679.4,6332.5,6116.1,1248.7,700.4,2135.5,3280.2,30497.5,14939.7,5195,466.2,2012.5,676.9,2103.6,0
37,19.8,3.4,0.9,35.9,89.8,4.4,19.8,47.6,43.7,26.7,25.9,21.3,22.4,14.2,19.7,32.5,78.7,20.6,46.9,88.3,450.3,821.9,300,277.9,62.3,241.1,288.2,545.2,376.9,330.6,363.2,308,85.9,208.6,0
1662.7,1479.9,321.1,167.9,1539.2,1208.8,138,543.1,2204.3,3320.8,672.4,1167,784.9,615.5,1044.6,698.9,1239.4,1868.4,743.6,1155.8,2321.2,15299.2,7841.9,10597.7,2321.4,1975.1,4314,8183.9,7014.7,2912.2,15226.7,4633.1,2843.9,1168.5,2788.7,0
1.6,0.6,1.3,2.9,0.8,1.6,0.5,7.2,1.7,3.1,0.9,3.6,26.6,0.9,0.5,0.8,1,39.1,13.9,1.2,30.3,13.4,140.8,12.5,28.2,10.4,96.9,5.2,11.5,1,111.5,599.9,1.1,42.9,95.6,0
18.5,45.2,20,0.9,0.4,1,0.1,5.5,1,2.1,0.6,0.4,0.8,0.2,0.3,0.3,0.4,45.7,6.6,0.4,68.2,107.8,128.7,152.5,9.1,40.6,102.2,263.1,435.7,26.9,244.8,1.8,1071.6,63.8,135.5,0
174,14.5,1.1,0.1,172.7,28.2,11.3,42.7,108.7,499,64.5,70.3,43.8,48.2,32.1,57.7,92.1,149.8,20,128.1,264.3,537.1,626.5,859.4,122.4,121.4,320.1,637.3,1287.6,126.3,785.5,1155.5,118.7,2155.1,880.9,0
318.6,289.6,326.8,22.2,175.2,455.3,27.3,74.4,340.7,223.8,92.1,153.3,511.6,69.8,93,98.1,153.5,294.6,87.3,195.6,454.4,1831.9,1295.7,1357.4,826.4,518.9,699.5,1483.7,1564.1,224.4,1470.2,1263.9,893.3,726.9,3322.4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
